Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","13 of 1070"
"Citizenship","Foreign nationals"

,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[Citizenship]",
"2006","Harvard University","Foreign nationals","1,568",
"2006","Massachusetts Institute of Technology","Total for selected values","2,136",
"2006","Massachusetts Institute of Technology","Foreign nationals","2,136",
"2006","Princeton University","Total for selected values","673",
"2006","Princeton University","Foreign nationals","673",
"2006","Stanford University","Total for selected values","2,274",
"2006","Stanford University","Foreign nationals","2,274",
"2006","University of Chicago","Total for selected values","691",
"2006","University of Chicago","Foreign nationals","691",
"2006","University of Pennsylvania","Total for selected values","764",
"2006","University of Pennsylvania","Foreign nationals","764",
"2006","Yale University","Total for selected values","564",
"2006","Yale University","Foreign nationals","564",
"2005","Total for selected values","Total for selected values","12,735",
"2005","Brown University","Total for selected values","494",
"2005","Brown University","Foreign nationals","494",
"2005","Columbia Univ in the City of New York","Total for selected values","1,474",
"2005","Columbia Univ in the City of New York","Foreign nationals","1,474",
"2005","Cornell University","Total for selected values","1,739",
"2005","Cornell University","Foreign nationals","1,739",
"2005","Dartmouth College","Total for selected values","188",
"2005","Dartmouth College","Foreign nationals","188",
"2005","Duke University","Total for selected values","552",
"2005","Duke University","Foreign nationals","552",
"2005","Harvard University","Total for selected values","1,401",
"2005","Harvard University","Foreign nationals","1,401",
"2005","Massachusetts Institute of Technology","Total for selected values","2,150",
"2005","Massachusetts Institute of Technology","Foreign nationals","2,150",
"2005","Princeton University","Total for selected values","640",
"2005","Princeton University","Foreign nationals","640",
"2005","Stanford University","Total for selected values","2,172",
"2005","Stanford University","Foreign nationals","2,172",
"2005","University of Chicago","Total for selected values","555",
"2005","University of Chicago","Foreign nationals","555",
"2005","University of Pennsylvania","Total for selected values","785",
"2005","University of Pennsylvania","Foreign nationals","785",
"2005","Yale University","Total for selected values","585",
"2005","Yale University","Foreign nationals","585",
"2004","Total for selected values","Total for selected values","12,721",
"2004","Brown University","Total for selected values","471",
"2004","Brown University","Foreign nationals","471",
"2004","Columbia Univ in the City of New York","Total for selected values","1,443",
"2004","Columbia Univ in the City of New York","Foreign nationals","1,443",
"2004","Cornell University","Total for selected values","1,721",
"2004","Cornell University","Foreign nationals","1,721",
