Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","Columbia Univ in the City of New York, Columbia University in the City of New York"

,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[Broad Fields]","[Citizenship]",
"1996","Columbia Univ in the City of New York","Mathematics and statistics","Foreign nationals","53",
"1996","Columbia Univ in the City of New York","Mathematics and statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","69",
"1996","Columbia Univ in the City of New York","Physical sciences","Total for selected values","206",
"1996","Columbia Univ in the City of New York","Physical sciences","Foreign nationals","94",
"1996","Columbia Univ in the City of New York","Physical sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","112",
"1996","Columbia Univ in the City of New York","Psychology","Total for selected values","26",
"1996","Columbia Univ in the City of New York","Psychology","Foreign nationals","10",
"1996","Columbia Univ in the City of New York","Psychology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","16",
"1996","Columbia Univ in the City of New York","Social sciences","Total for selected values","715",
"1996","Columbia Univ in the City of New York","Social sciences","Foreign nationals","264",
"1996","Columbia Univ in the City of New York","Social sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","451",
"1995","Total for selected values","Total for selected values","Total for selected values","2,909",
"1995","Columbia Univ in the City of New York","Total for selected values","Total for selected values","2,909",
"1995","Columbia Univ in the City of New York","Biological sciences","Total for selected values","433",
"1995","Columbia Univ in the City of New York","Biological sciences","Foreign nationals","171",
"1995","Columbia Univ in the City of New York","Biological sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","262",
"1995","Columbia Univ in the City of New York","Clinical medicine","Total for selected values","600",
"1995","Columbia Univ in the City of New York","Clinical medicine","Foreign nationals","55",
"1995","Columbia Univ in the City of New York","Clinical medicine","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","545",
"1995","Columbia Univ in the City of New York","Computer sciences","Total for selected values","181",
"1995","Columbia Univ in the City of New York","Computer sciences","Foreign nationals","41",
"1995","Columbia Univ in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","140",
"1995","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","93",
"1995","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals","43",
"1995","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","50",
"1995","Columbia Univ in the City of New York","Engineering","Total for selected values","513",
"1995","Columbia Univ in the City of New York","Engineering","Foreign nationals","154",
"1995","Columbia Univ in the City of New York","Engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","359",
"1995","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","117",
"1995","Columbia Univ in the City of New York","Mathematics and statistics","Foreign nationals","60",
"1995","Columbia Univ in the City of New York","Mathematics and statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","57",
"1995","Columbia Univ in the City of New York","Physical sciences","Total for selected values","215",
"1995","Columbia Univ in the City of New York","Physical sciences","Foreign nationals","129",
"1995","Columbia Univ in the City of New York","Physical sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","86",
"1995","Columbia Univ in the City of New York","Psychology","Total for selected values","36",
"1995","Columbia Univ in the City of New York","Psychology","Foreign nationals","17",
"1995","Columbia Univ in the City of New York","Psychology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","19",
"1995","Columbia Univ in the City of New York","Social sciences","Total for selected values","721",
"1995","Columbia Univ in the City of New York","Social sciences","Foreign nationals","241",
"1995","Columbia Univ in the City of New York","Social sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","480",
"1994","Total for selected values","Total for selected values","Total for selected values","3,006",
"1994","Columbia Univ in the City of New York","Total for selected values","Total for selected values","3,006",
"1994","Columbia Univ in the City of New York","Biological sciences","Total for selected values","459",
"1994","Columbia Univ in the City of New York","Biological sciences","Foreign nationals","171",
"1994","Columbia Univ in the City of New York","Biological sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","288",
"1994","Columbia Univ in the City of New York","Clinical medicine","Total for selected values","595",
"1994","Columbia Univ in the City of New York","Clinical medicine","Foreign nationals","53",
"1994","Columbia Univ in the City of New York","Clinical medicine","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","542",
"1994","Columbia Univ in the City of New York","Computer sciences","Total for selected values","165",
"1994","Columbia Univ in the City of New York","Computer sciences","Foreign nationals","63",
"1994","Columbia Univ in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","102",
"1994","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","103",
"1994","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals","48",
"1994","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","55",
"1994","Columbia Univ in the City of New York","Engineering","Total for selected values","572",
"1994","Columbia Univ in the City of New York","Engineering","Foreign nationals","234",
"1994","Columbia Univ in the City of New York","Engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","338",
"1994","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","109",
"1994","Columbia Univ in the City of New York","Mathematics and statistics","Foreign nationals","62",
"1994","Columbia Univ in the City of New York","Mathematics and statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","47",
"1994","Columbia Univ in the City of New York","Physical sciences","Total for selected values","220",
"1994","Columbia Univ in the City of New York","Physical sciences","Foreign nationals","105",
"1994","Columbia Univ in the City of New York","Physical sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","115",
"1994","Columbia Univ in the City of New York","Psychology","Total for selected values","29",
"1994","Columbia Univ in the City of New York","Psychology","Foreign nationals","4",
"1994","Columbia Univ in the City of New York","Psychology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","25",
"1994","Columbia Univ in the City of New York","Social sciences","Total for selected values","754",
"1994","Columbia Univ in the City of New York","Social sciences","Foreign nationals","207",
"1994","Columbia Univ in the City of New York","Social sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","547",


NOTES:,

"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Graduate Students and Postdoctorates in Science and Engineering Survey."
Downloaded 2019/03/14 at 12:23:07 PM EST,
