Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","Columbia Univ in the City of New York, Columbia University in the City of New York"

,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[Broad Fields]","[Citizenship]",
"2013","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals","107",
"2013","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","105",
"2013","Columbia University in the City of New York","Engineering","Total for selected values","1,965",
"2013","Columbia University in the City of New York","Engineering","Foreign nationals","1,484",
"2013","Columbia University in the City of New York","Engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","481",
"2013","Columbia University in the City of New York","Mathematics and statistics","Total for selected values","608",
"2013","Columbia University in the City of New York","Mathematics and statistics","Foreign nationals","495",
"2013","Columbia University in the City of New York","Mathematics and statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","113",
"2013","Columbia University in the City of New York","Neurobiology and neuroscience","Total for selected values","84",
"2013","Columbia University in the City of New York","Neurobiology and neuroscience","Foreign nationals","4",
"2013","Columbia University in the City of New York","Neurobiology and neuroscience","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","80",
"2013","Columbia University in the City of New York","Other health","Total for selected values","27",
"2013","Columbia University in the City of New York","Other health","Foreign nationals","5",
"2013","Columbia University in the City of New York","Other health","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","22",
"2013","Columbia University in the City of New York","Physical sciences","Total for selected values","262",
"2013","Columbia University in the City of New York","Physical sciences","Foreign nationals","102",
"2013","Columbia University in the City of New York","Physical sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","160",
"2013","Columbia University in the City of New York","Psychology","Total for selected values","33",
"2013","Columbia University in the City of New York","Psychology","Foreign nationals","5",
"2013","Columbia University in the City of New York","Psychology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","28",
"2013","Columbia University in the City of New York","Social sciences","Total for selected values","686",
"2013","Columbia University in the City of New York","Social sciences","Foreign nationals","327",
"2013","Columbia University in the City of New York","Social sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","359",
"2012","Total for selected values","Total for selected values","Total for selected values","5,090",
"2012","Columbia University in the City of New York","Total for selected values","Total for selected values","5,090",
"2012","Columbia University in the City of New York","Biological sciences","Total for selected values","674",
"2012","Columbia University in the City of New York","Biological sciences","Foreign nationals","193",
"2012","Columbia University in the City of New York","Biological sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","481",
"2012","Columbia University in the City of New York","Clinical medicine","Total for selected values","78",
"2012","Columbia University in the City of New York","Clinical medicine","Foreign nationals","9",
"2012","Columbia University in the City of New York","Clinical medicine","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","69",
"2012","Columbia University in the City of New York","Computer sciences","Total for selected values","467",
"2012","Columbia University in the City of New York","Computer sciences","Foreign nationals","342",
"2012","Columbia University in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","125",
"2012","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","221",
"2012","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals","102",
"2012","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","119",
"2012","Columbia University in the City of New York","Engineering","Total for selected values","2,024",
"2012","Columbia University in the City of New York","Engineering","Foreign nationals","1,422",
"2012","Columbia University in the City of New York","Engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","602",
"2012","Columbia University in the City of New York","Mathematics and statistics","Total for selected values","514",
"2012","Columbia University in the City of New York","Mathematics and statistics","Foreign nationals","392",
"2012","Columbia University in the City of New York","Mathematics and statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","122",
"2012","Columbia University in the City of New York","Neurobiology and neuroscience","Total for selected values","83",
"2012","Columbia University in the City of New York","Neurobiology and neuroscience","Foreign nationals","15",
"2012","Columbia University in the City of New York","Neurobiology and neuroscience","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","68",
"2012","Columbia University in the City of New York","Other health","Total for selected values","24",
"2012","Columbia University in the City of New York","Other health","Foreign nationals","4",
"2012","Columbia University in the City of New York","Other health","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","20",
"2012","Columbia University in the City of New York","Physical sciences","Total for selected values","266",
"2012","Columbia University in the City of New York","Physical sciences","Foreign nationals","105",
"2012","Columbia University in the City of New York","Physical sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","161",
"2012","Columbia University in the City of New York","Psychology","Total for selected values","34",
"2012","Columbia University in the City of New York","Psychology","Foreign nationals","4",
"2012","Columbia University in the City of New York","Psychology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","30",
"2012","Columbia University in the City of New York","Social sciences","Total for selected values","705",
"2012","Columbia University in the City of New York","Social sciences","Foreign nationals","335",
"2012","Columbia University in the City of New York","Social sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","370",
"2011","Total for selected values","Total for selected values","Total for selected values","4,704",
"2011","Columbia University in the City of New York","Total for selected values","Total for selected values","4,704",
"2011","Columbia University in the City of New York","Biological sciences","Total for selected values","741",
"2011","Columbia University in the City of New York","Biological sciences","Foreign nationals","181",
"2011","Columbia University in the City of New York","Biological sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","560",
"2011","Columbia University in the City of New York","Clinical medicine","Total for selected values","95",
"2011","Columbia University in the City of New York","Clinical medicine","Foreign nationals","12",
"2011","Columbia University in the City of New York","Clinical medicine","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","83",
"2011","Columbia University in the City of New York","Computer sciences","Total for selected values","452",
"2011","Columbia University in the City of New York","Computer sciences","Foreign nationals","329",
"2011","Columbia University in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","123",
"2011","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","183",
"2011","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals","93",
"2011","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","90",
"2011","Columbia University in the City of New York","Engineering","Total for selected values","1,774",
"2011","Columbia University in the City of New York","Engineering","Foreign nationals","1,206",
"2011","Columbia University in the City of New York","Engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","568",
"2011","Columbia University in the City of New York","Mathematics and statistics","Total for selected values","470",
"2011","Columbia University in the City of New York","Mathematics and statistics","Foreign nationals","356",
"2011","Columbia University in the City of New York","Mathematics and statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","114",
"2011","Columbia University in the City of New York","Other health","Total for selected values","20",
"2011","Columbia University in the City of New York","Other health","Foreign nationals","2",
"2011","Columbia University in the City of New York","Other health","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","18",
"2011","Columbia University in the City of New York","Physical sciences","Total for selected values","261",
"2011","Columbia University in the City of New York","Physical sciences","Foreign nationals","105",
